,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
8571,Digital,OverDrive,EBOOK,2018,1,2,Wildfire in His Arms,,Johanna Lindsey,"Fiction, Historical Fiction, Romance","Simon & Schuster, Inc.",2015
8572,Digital,Freegal,SONG,2018,1,2,"Hey, Soul Sister",,Train,,,
8573,Digital,OverDrive,EBOOK,2018,1,1,"Sherlock Holmes and the Redheaded League: On the Case with Holmes and Watson Series, Book 7",,Sir Arthur Conan Doyle,"Comic and Graphic Books, Fiction, Mystery",Lerner Publishing Group,2011
8574,Digital,OverDrive,AUDIOBOOK,2018,1,6,Alpha and Omega: A Companion Novella to <i>Cry Wolf</i> (unabridged) (Unabridged),,Patricia Briggs,"Fantasy, Fiction, Short Stories",Books on Tape,2014
8575,Digital,OverDrive,EBOOK,2018,1,2,Alluring Tales: Hot Holiday Nights,,Sylvia Day,"Erotic Literature, Fiction",HarperCollins Publishers Inc.,2012
8577,Digital,OverDrive,EBOOK,2018,1,2,From Notting Hill with Love...Actually,,Ali McNamara,"Fiction, Literature",Sourcebooks,2012
8579,Digital,OverDrive,AUDIOBOOK,2018,1,3,"7th Heaven: Women's Murder Club Series, Book 7 (unabridged) (Unabridged)",,James Patterson,"Fiction, Thriller",Books on Tape,2008
8580,Digital,OverDrive,AUDIOBOOK,2018,1,1,Arena (Unabridged),,Holly Jennings,"Fantasy, Fiction, Romance, Science Fiction",Books on Tape,2016
8584,Digital,OverDrive,EBOOK,2018,1,1,Superstar,,Mandy Davis,"Juvenile Fiction, Juvenile Literature",HarperCollins Publishers Inc.,2017
8585,Digital,Freegal,SONG,2018,1,1,One in Seven Billion Girl,,The Phenomenauts,,,
8586,Digital,OverDrive,EBOOK,2018,1,1,Gold Panning the Pacific Northwest: A Guide to the Area's Best Sites for Gold,,Garret Romaine,"Nature, Nonfiction, Science, Travel",Rowman and Littlefield Publishing Group,2017
8587,Digital,OverDrive,EBOOK,2018,1,1,Stars in My Pocket Like Grains of Sand,,Samuel R. Delany,"Fiction, Science Fiction",Open Road Integrated Media,2015
8588,Digital,OverDrive,EBOOK,2018,1,3,A Rabble of Dead Money: The Great Crash and the Global Depression: 1929-1939,,Charles R. Morris,"Business, History, Nonfiction","Hachette Digital, Inc.",2017
8601,Digital,OverDrive,EBOOK,2018,1,5,"Treasury of Greek Mythology: Classic Stories of Gods, Goddesses, Heroes & Monsters",,Donna Jo Napoli,"Juvenile Fiction, Mythology, Sociology","Random House, Inc.",2014
8606,Digital,OverDrive,EBOOK,2018,1,6,"Crowned and Dangerous: Royal Spyness Mystery Series, Book 10",,Rhys Bowen,"Fiction, Historical Fiction, Mystery","Penguin Group (USA), Inc.",2016
8611,Digital,Freegal,SONG,2018,1,1,La Belle Fleur Sauvage,,Lord Huron,,,
8613,Digital,Freegal,SONG,2018,1,2,Can't Help Falling in Love,,Beck,,,
8615,Digital,OverDrive,EBOOK,2018,1,1,"The Last Debutante: The Secrets of Hadley Green Series, Book 4",,Julia London,"Fiction, Historical Fiction, Romance","Simon & Schuster, Inc.",2014
8618,Digital,OverDrive,AUDIOBOOK,2018,1,1,Swimming Home: A Novel (unabridged) (Unabridged),,Mary-Rose MacColl,"Fiction, Historical Fiction, Literature",Books on Tape,2017
8620,Digital,OverDrive,EBOOK,2018,1,8,"Glory in Death: In Death Series, Book 2",,J. D. Robb,"Fiction, Romance, Suspense","Penguin Group (USA), Inc.",2013
8623,Digital,OverDrive,EBOOK,2018,1,2,Steal Across the Sky,,Nancy Kress,"Fiction, Science Fiction",Macmillan Publishers,2013
8624,Digital,OverDrive,EBOOK,2018,1,4,Do I Make Myself Clear?: Why Writing Well Matters,,Harold Evans,"Language Arts, Nonfiction","Hachette Digital, Inc.",2017
8625,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Tree: A Natural History of What Trees Are, How They Live, and Why They Matter (unabridged) (Unabridged)",,Colin Tudge,"Nature, Nonfiction, Science",Books on Tape,2016
8635,Digital,OverDrive,EBOOK,2018,1,1,The Bronze Bow,,Elizabeth George Speare,"Historical Fiction, Young Adult Fiction",Houghton Mifflin Harcourt Trade and Reference,2011
8637,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Atlantic: Great Sea Battles, Heroic Discoveries, Titanic Storms, and a Vast Ocean of a Million Stories (unabridged) (Unabridged)",,Simon Winchester,"History, Nonfiction",Books on Tape,2010
8638,Digital,OverDrive,EBOOK,2018,1,1,Never Say Narwhal,,Jarrett J. Krosoczka,"Humor (Fiction), Juvenile Fiction",HarperCollins Publishers Inc.,2016
8639,Digital,OverDrive,EBOOK,2018,1,1,Frankenstein's Cat: Cuddling Up to Biotech's Brave New Beasts,,Emily Anthes,"Nonfiction, Science",Macmillan Publishers,2014
8640,Digital,OverDrive,EBOOK,2018,1,1,The Married Kama Sutra: The World's Least Erotic Sex Manual,,Simon Rich,"Family & Relationships, Humor (Nonfiction), Nonfiction","Hachette Digital, Inc.",2013
8642,Digital,Hoopla,MUSIC,2018,1,1,Siempre Romantico,,,Latin,AF Records,
8646,Digital,OverDrive,EBOOK,2018,1,2,"Fortunately, the Milk",,Neil Gaiman,"Humor (Fiction), Juvenile Fiction",HarperCollins Publishers Inc.,2013
8649,Digital,OverDrive,EBOOK,2018,1,3,The Scarlet Letter,,Nathaniel Hawthorne,"Fiction, Literature",Barnes & Noble World Digital Library,2005
8650,Digital,OverDrive,EBOOK,2018,1,1,Ten Billion,,Stephen Emmott,"Nonfiction, Politics, Science, Sociology","Random House, Inc.",2013
8651,Digital,OverDrive,EBOOK,2018,1,1,Wicked as They Come,,Delilah S. Dawson,"Fantasy, Fiction, Romance","Simon & Schuster, Inc.",2015
8652,Digital,OverDrive,AUDIOBOOK,2018,1,2,"A Short, Sharp Shock (Unabridged)",,Kim Stanley Robinson,"Fiction, Science Fiction","Blackstone Audio, Inc.",2012
